1.68	331.92686	403.65682	198.12747	331.38661	404.33034	199.4831
1.7	330.52039	403.65682	200.3773	331.05401	403.93302	199.23575
1.72	330.52039	403.65682	199.42528	330.72253	403.54683	198.97307
1.74	330.52039	403.65682	198.68898	330.39422	403.168	198.69121
1.76	330.52039	402.25035	199.26804	330.06948	402.7936	198.39028
1.78	329.11392	402.25035	198.54244	329.74974	402.42274	198.07213
1.8	329.11392	402.25035	196.86553	329.43815	402.05206	197.74389
1.82	329.11392	402.25035	197.62777	329.13463	401.67681	197.41524
1.84	329.11392	400.84388	196.99876	328.83651	401.29384	197.09206
1.86	329.11392	400.84388	196.0215	328.54094	400.90273	196.78006
1.88	327.70745	400.84388	196.05385	328.24728	400.50132	196.48375
1.9	327.70745	400.84388	196.78237	327.9576	400.08702	196.20289
1.92	327.70745	399.43741	195.69315	327.67153	399.65998	195.93471
1.94	327.70745	399.43741	195.97864	327.38669	399.22456	195.67864
1.96	327.70745	399.43741	194.72847	327.10097	398.78519	195.43398
1.98	326.30098	398.03094	195.37259	326.81485	398.34805	195.20038
2	326.30098	398.03094	194.62122	326.53177	397.92263	194.97436
2.02	326.30098	396.62447	195.42471	326.25293	397.51775	194.75194
2.04	326.30098	396.62447	194.33241	325.97769	397.14119	194.52839
2.06	326.30098	396.62447	194.0977	325.70579	396.79543	194.30182
2.08	324.89451	396.62447	193.52206	325.43954	396.47879	194.06995
2.1	324.89451	396.62447	194.48037	325.18412	396.18816	193.82838
2.12	324.89451	395.218	192.49907	324.94223	395.92159	193.57043
2.14	324.89451	395.218	193.93891	324.71424	395.67868	193.29071
2.16	324.89451	395.218	192.35459	324.50009	395.45528	192.97985
2.18	323.48805	395.218	193.77907	324.30118	395.24351	192.6297
2.2	323.48805	395.218	194.2678	324.12014	395.03358	192.23115
2.22	323.48805	395.218	192.94067	323.95497	394.81551	191.78309
2.24	323.48805	395.218	190.85459	323.79859	394.58079	191.29836
2.26	324.89451	395.218	189.12071	323.64016	394.32415	190.79807
2.28	323.48805	393.81153	189.62782	323.46826	394.04544	190.30028
2.3	323.48805	393.81153	189.70965	323.27777	393.74982	189.81262
2.32	323.48805	393.81153	188.41731	323.06559	393.44248	189.33677
2.34	323.48805	392.40506	188.49224	322.83036	393.12909	188.87173
2.36	322.08158	392.40506	190.2507	322.57412	392.81644	188.41099
2.38	322.08158	392.40506	187.74913	322.30232	392.50738	187.94721
